Comment ID,Positive,Negative,Neutral,Compound
c1y1az3,0.0,0.0,1.0,0.0
c1y2d44,0.0,0.0,1.0,0.0
c1ybwxs,0.0,0.0,1.0,0.0
c1y1vs1,0.187,0.174,0.639,0.0387
c1y1mbe,0.0,0.242,0.758,-0.4257
c1y0wwh,0.078,0.102,0.82,-0.2732
c1y1a3k,0.183,0.0,0.817,0.4854
c1y1hsa,0.111,0.047,0.842,0.3975
c1y1akq,0.12,0.0,0.88,0.5499
c1ydqrh,0.312,0.102,0.585,0.6486
c1y96kj,0.213,0.0,0.787,0.6613
c1y1fpy,0.092,0.106,0.802,-0.0708
c1y0wnq,0.055,0.196,0.749,-0.8481
c1y1pha,0.327,0.122,0.551,0.6361
c1y0upy,0.0,0.714,0.286,-0.6124
c1y0lca,0.202,0.139,0.659,0.3291
c1y294j,0.235,0.173,0.591,0.3516
c1y2hj3,0.0,0.113,0.887,-0.7506
c1y0we0,0.0,0.0,1.0,0.0
c1y4quh,0.0,0.186,0.814,-0.8481
c1y4g1t,0.089,0.039,0.872,0.4939
c1yitmr,0.107,0.039,0.853,0.5106
c1y20fg,0.071,0.109,0.82,-0.6229
c1y1lrl,0.0,0.34,0.66,-0.7345
c1y243m,0.263,0.126,0.611,0.8013
c1y3e9g,0.0,0.0,1.0,0.0
c1y3afi,0.152,0.067,0.781,0.9285
c1y3ofy,0.229,0.049,0.721,0.8169
c1y4msq,0.138,0.083,0.78,0.6187
c1y5ioj,0.186,0.062,0.752,0.5859
c1y9biy,0.0,0.161,0.839,-0.6889
c1y4nei,0.0,0.0,1.0,0.0
c1y1294,0.0,0.0,1.0,0.0
c1y1jl9,0.246,0.188,0.565,0.302
c1y3cf1,0.201,0.261,0.537,-0.2244
c1y1h2u,0.171,0.0,0.829,0.6059
c1y8pet,0.0,0.4,0.6,-0.4588
c1y2pwg,0.088,0.0,0.912,0.1139
c1y108n,0.11,0.163,0.727,-0.8462
c1y0zlp,0.583,0.0,0.417,0.6369
c1y2fmn,0.068,0.104,0.828,-0.6413
c1y4ils,0.131,0.22,0.65,-0.9022
c1y9erx,0.219,0.0,0.781,0.4215
c1y9abm,0.0,0.074,0.926,-0.0516
c1y1vdr,0.101,0.093,0.805,0.128
c1y3tdh,0.0,0.198,0.802,-0.4939
c1yit1n,0.109,0.218,0.674,-0.7041
c1y9cl6,0.718,0.0,0.282,0.6249
c1y9coy,0.0,0.095,0.905,-0.2755
c1y0veu,0.057,0.182,0.761,-0.8271
c1y2qcl,0.0,0.0,1.0,0.0
c1y3o52,0.094,0.051,0.856,0.2748
c1yyyf3,0.0,0.545,0.455,-0.5574
c1yjqkk,0.052,0.067,0.881,-0.1531
c1y2exp,0.0,0.079,0.921,-0.4331
c1y3sal,0.205,0.166,0.629,0.5584
c1y36lt,0.412,0.0,0.588,0.2732
c1y3buu,0.172,0.13,0.699,0.2894
c1y4sw8,0.119,0.068,0.813,0.6352
c1y5iew,0.0,0.13,0.87,-0.2732
